genome	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC
ALL_dreped_individual_C12F5CR_subsam_bin.16	2864	2775	230	family	0.93	0.91	0.26	0.08	0.17	0.95	0.86	True
ALL_dreped_vamb_cage_treat_C10_CR_vae_4897	2622	2504	53	family	0.94	0.9	0.21	0.12	0.27	0.75	0.67	True
ALL_dreped_vamb_cage_treat_C10_CR_vae_5309	3756	3597	267	class	0.98	0.94	0.12	0.2	0.48	0.68	0.64	True
ALL_dreped_vamb_cage_treat_C11_CR_vae_414	4273	4260	48	genus	0.96	0.96	0.01	0.32	0.76	0.99	0.95	True
ALL_dreped_vamb_cage_treat_C11_HR_vae_1325	2346	2245	35	kingdom	1.0	0.96	0.0	0.0	0.0	0.96	0.91	True
ALL_dreped_vamb_cage_treat_C11_OP_vae_1624	3206	2894	72	genus	0.8	0.72	0.28	0.04	0.09	0.8	0.58	True
ALL_dreped_vamb_long_C03M1_vae_641	2968	2745	169	genus	0.69	0.64	0.14	0.55	2.66	0.67	0.43	True
ALL_dreped_vamb_long_C03M3_vae_58	1818	1451	4	kingdom	1.0	0.79	0.0	0.0	0.0	0.51	0.41	True
ALL_dreped_vamb_long_C05M1_vae_317	1624	1325	45	order	0.88	0.72	0.05	0.16	0.41	0.52	0.37	True
ALL_dreped_vamb_long_C05M1_vae_5516	4458	4157	102	order	0.92	0.86	0.08	0.03	0.07	0.66	0.57	True
ALL_dreped_vamb_long_C05M5_vae_16955	2316	2207	53	class	0.94	0.9	0.05	0.19	0.43	0.65	0.58	True
ALL_dreped_vamb_long_C10F5_vae_1461	4081	3896	121	genus	0.86	0.82	0.1	0.4	1.31	0.8	0.66	True
ALL_dreped_vamb_long_C12F3_vae_14835	3325	3262	91	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.96	True
ALL_dreped_vamb_treat_CD_vae_6142	2447	2251	443	order	0.94	0.87	0.34	0.4	0.92	0.76	0.66	True
ALL_dreped_vamb_treat_CR_vae_4629	2897	2722	134	genus	0.91	0.86	0.37	0.18	0.47	0.77	0.66	True
ALL_dreped_vamb_treat_CR_vae_464	3522	3334	47	family	0.9	0.85	0.02	0.35	1.18	0.66	0.56	True
ALL_dreped_vamb_treat_CR_vae_498	2360	2198	48	family	0.94	0.88	0.03	0.16	0.41	0.64	0.57	True
ALL_dreped_vamb_treat_CR_vae_5176	2074	1968	97	class	0.97	0.92	0.12	0.34	0.81	0.77	0.71	True
ALL_dreped_vamb_treat_CR_vae_52	1775	1467	44	genus	0.64	0.53	0.05	0.36	1.27	0.55	0.29	True
ALL_dreped_vamb_treat_CR_vae_523	2750	2519	82	genus	0.92	0.85	0.12	0.27	0.81	0.65	0.55	True
ALL_dreped_vamb_treat_CR_vae_540	2603	2482	44	family	0.93	0.89	0.1	0.18	0.43	0.74	0.66	True
ALL_dreped_vamb_treat_CR_vae_563	3115	2877	132	genus	0.8	0.74	0.31	0.04	0.08	0.8	0.59	True
ALL_dreped_vamb_treat_CR_vae_574	3940	3713	114	family	0.94	0.89	0.17	0.13	0.3	0.79	0.7	True
ALL_dreped_vamb_treat_CR_vae_616	2247	2091	53	family	0.95	0.89	0.06	0.18	0.45	0.64	0.57	True
ALL_dreped_vamb_treat_CR_vae_697	1437	1189	45	class	0.89	0.74	0.04	0.47	1.52	0.51	0.38	True
ALL_dreped_vamb_treat_CR_vae_729	1750	1486	13	order	0.82	0.7	0.02	0.4	1.2	0.51	0.36	True
ALL_dreped_vamb_treat_CR_vae_766	3828	3572	120	genus	0.75	0.7	0.05	0.58	3.39	0.65	0.46	True
ALL_dreped_vamb_treat_CR_vae_775	1886	1582	199	order	0.82	0.69	0.15	0.45	1.29	0.53	0.37	True
ALL_dreped_vamb_treat_CR_vae_786	3742	3480	112	genus	0.8	0.74	0.06	0.53	2.62	0.68	0.51	True
ALL_dreped_vamb_treat_CR_vae_802	3517	3323	96	genus	0.7	0.66	0.03	0.71	5.27	0.66	0.44	True
ALL_dreped_vamb_treat_CR_vae_829	4607	4224	210	class	0.95	0.87	0.22	0.28	0.69	0.69	0.61	True
ALL_dreped_vamb_treat_CR_vae_856	3802	3600	68	genus	0.79	0.75	0.04	0.54	2.79	0.69	0.51	True
ALL_dreped_vamb_treat_CR_vae_869	4112	3867	122	genus	0.77	0.73	0.08	0.66	3.74	0.71	0.51	True
ALL_dreped_vamb_treat_CR_vae_9	1697	1644	6	family	0.94	0.91	0.05	0.06	0.12	0.77	0.7	True
ALL_dreped_vamb_treat_CR_vae_913	2117	2053	63	kingdom	1.0	0.97	0.0	0.0	0.0	0.95	0.92	True
ALL_dreped_vamb_treat_HR_vae_476	4687	4432	91	family	0.93	0.88	0.11	0.12	0.29	0.75	0.66	True
ALL_dreped_vamb_treat_HT_vae_306	3428	3237	71	genus	0.79	0.74	0.06	0.69	3.91	0.7	0.52	True
ALL_dreped_vamb_treat_HT_vae_575	1798	1478	47	order	0.86	0.71	0.06	0.18	0.46	0.52	0.37	True
ALL_dreped_vamb_treat_OP_OP_vae_995	5409	5239	699	genus	0.83	0.8	0.41	0.23	0.57	0.94	0.75	True
coassembly_cage_treat_C03_CD_bin.13	3521	3263	480	genus	0.77	0.72	0.15	0.66	3.59	0.68	0.49	True
coassembly_cage_treat_C03_CD_bin.19	1946	1898	58	kingdom	1.0	0.98	0.0	0.0	0.0	0.96	0.93	True
coassembly_cage_treat_C03_CD_bin.25	3652	3382	131	genus	0.81	0.75	0.06	0.56	2.97	0.68	0.51	True
coassembly_cage_treat_C03_CD_bin.27	3002	2833	496	genus	0.81	0.76	0.17	0.65	3.5	0.7	0.53	True
coassembly_cage_treat_C03_CD_bin.29	2586	2379	72	genus	0.93	0.85	0.1	0.26	0.78	0.65	0.55	True
coassembly_cage_treat_C03_CD_bin.37	3724	3568	124	class	0.95	0.91	0.17	0.03	0.05	0.66	0.6	True
coassembly_cage_treat_C03_CD_bin.52	2734	2533	478	family	0.91	0.84	0.27	0.28	0.84	0.72	0.61	True
coassembly_cage_treat_C03_CD_bin.56	3501	3330	899	genus	0.8	0.76	0.37	0.39	1.37	0.79	0.6	True
coassembly_cage_treat_C03_CD_bin.62	3449	3245	181	family	0.88	0.83	0.07	0.32	1.05	0.66	0.54	True
coassembly_cage_treat_C03_CD_bin.73	1972	1868	381	class	0.97	0.92	0.27	0.3	0.72	0.78	0.71	True
coassembly_cage_treat_C03_CD_bin.77	3806	3504	817	genus	0.78	0.72	0.46	0.4	1.53	0.78	0.56	False
coassembly_cage_treat_C03_CR_bin.14	2867	2824	299	family	0.98	0.97	0.22	0.09	0.2	0.97	0.93	True
coassembly_cage_treat_C03_CR_bin.15	2417	2303	61	genus	0.68	0.65	0.07	0.55	2.46	0.67	0.43	True
coassembly_cage_treat_C03_CR_bin.18	3318	3136	344	class	0.97	0.92	0.29	0.36	0.92	0.66	0.6	True
coassembly_cage_treat_C03_CR_bin.24	2482	2296	257	family	0.93	0.86	0.13	0.65	3.08	0.7	0.6	True
coassembly_cage_treat_C03_CR_bin.31	2469	2258	234	class	0.95	0.87	0.11	0.16	0.37	0.64	0.56	True
coassembly_cage_treat_C03_CR_bin.34	3237	3069	114	genus	0.83	0.79	0.12	0.2	0.5	0.76	0.6	True
coassembly_cage_treat_C03_CR_bin.44	3866	3565	139	class	0.96	0.89	0.18	0.32	0.78	0.68	0.6	True
coassembly_cage_treat_C03_CR_bin.56	1354	1194	40	order	0.91	0.81	0.08	0.47	1.3	0.55	0.45	True
coassembly_cage_treat_C03_CR_bin.6	2742	2541	437	genus	0.76	0.71	0.21	0.51	1.98	0.68	0.48	True
coassembly_cage_treat_C03_CR_bin.62	2780	2723	129	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
coassembly_cage_treat_C03_CR_bin.65	1431	1226	37	family	0.8	0.68	0.01	0.71	4.04	0.52	0.36	True
coassembly_cage_treat_C03_CR_bin.66	2278	2215	103	genus	0.94	0.92	0.53	0.04	0.08	0.96	0.88	False
coassembly_cage_treat_C03_HR_bin.1	3227	2920	348	genus	0.73	0.66	0.15	0.59	3.27	0.7	0.46	True
coassembly_cage_treat_C03_HR_bin.12	3028	2830	195	class	0.95	0.89	0.16	0.18	0.41	0.66	0.59	True
coassembly_cage_treat_C03_HR_bin.14	2791	2678	320	genus	0.85	0.81	0.15	0.31	1.0	0.8	0.65	True
coassembly_cage_treat_C03_HR_bin.6	1975	1774	477	genus	0.78	0.7	0.26	0.35	1.25	0.7	0.49	True
coassembly_cage_treat_C03_HT_bin.1	2473	2326	21	family	0.95	0.89	0.05	0.11	0.24	0.72	0.64	True
coassembly_cage_treat_C03_HT_bin.11	1881	1564	19	family	0.85	0.71	0.06	0.05	0.09	0.6	0.42	True
coassembly_cage_treat_C03_HT_bin.19	4216	3944	141	genus	0.77	0.72	0.11	0.32	0.94	0.74	0.54	True
coassembly_cage_treat_C03_HT_bin.21	2794	2479	99	genus	0.46	0.41	0.08	0.82	7.13	0.57	0.23	True
coassembly_cage_treat_C03_HT_bin.28	1478	1273	14	order	0.84	0.73	0.05	0.46	1.43	0.51	0.37	True
coassembly_cage_treat_C03_HT_bin.29	3849	3455	332	genus	0.78	0.7	0.14	0.58	2.04	0.66	0.46	True
coassembly_cage_treat_C03_HT_bin.34	2242	2030	79	genus	0.45	0.41	0.09	0.85	9.83	0.57	0.24	True
coassembly_cage_treat_C03_HT_bin.36	2705	2498	51	family	0.91	0.84	0.06	0.27	0.76	0.64	0.54	True
coassembly_cage_treat_C03_HT_bin.48	2823	2668	194	class	0.97	0.91	0.22	0.38	0.9	0.76	0.7	True
coassembly_cage_treat_C03_HT_bin.7	1614	1279	337	family	0.89	0.71	0.16	0.67	3.21	0.57	0.4	True
coassembly_cage_treat_C03_HT_bin.8	2763	2596	400	genus	0.8	0.75	0.51	0.05	0.1	0.84	0.63	False
coassembly_cage_treat_C03_OP_bin.15	2645	2465	563	class	0.97	0.9	0.28	0.34	0.82	0.77	0.7	True
coassembly_cage_treat_C05_CD_bin.23	2171	2008	51	family	0.93	0.86	0.03	0.25	0.68	0.65	0.56	True
coassembly_cage_treat_C05_CD_bin.34	2269	2140	527	genus	0.82	0.77	0.52	0.09	0.19	0.76	0.58	False
coassembly_cage_treat_C05_CD_bin.38	1621	1314	48	class	0.9	0.73	0.05	0.17	0.45	0.52	0.38	True
coassembly_cage_treat_C05_CD_bin.4	3726	3568	170	genus	0.78	0.75	0.18	0.22	0.62	0.77	0.58	True
coassembly_cage_treat_C05_CD_bin.47	3329	3155	45	genus	0.78	0.74	0.03	0.61	3.71	0.65	0.48	True
coassembly_cage_treat_C05_CD_bin.50	2438	2296	311	class	0.97	0.91	0.21	0.31	0.75	0.77	0.71	True
coassembly_cage_treat_C05_CD_bin.52	1672	1386	33	order	0.82	0.68	0.09	0.44	1.24	0.52	0.35	True
coassembly_cage_treat_C05_CD_bin.62	2395	2300	544	genus	0.87	0.84	0.5	0.03	0.06	0.87	0.73	False
coassembly_cage_treat_C05_CD_bin.67	2303	2190	514	class	0.97	0.93	0.32	0.35	0.83	0.77	0.72	True
coassembly_cage_treat_C05_CR_bin.39	2313	2184	504	genus	0.81	0.77	0.41	0.14	0.35	0.75	0.58	True
coassembly_cage_treat_C05_CR_bin.48	3780	3472	157	class	0.98	0.9	0.21	0.31	0.81	0.65	0.58	True
coassembly_cage_treat_C05_CR_bin.52	4638	4325	244	class	0.97	0.9	0.14	0.28	0.71	0.65	0.59	True
coassembly_cage_treat_C05_HR_bin.13	4381	4141	103	family	0.93	0.88	0.13	0.12	0.29	0.74	0.65	True
coassembly_cage_treat_C05_HR_bin.23	2358	2249	34	kingdom	1.0	0.95	0.0	0.0	0.0	0.95	0.91	True
coassembly_cage_treat_C05_HR_bin.45	1842	1731	339	class	0.97	0.91	0.24	0.31	0.75	0.77	0.71	True
coassembly_cage_treat_C05_HR_bin.50	2288	2140	45	family	0.95	0.89	0.04	0.15	0.38	0.64	0.57	True
coassembly_cage_treat_C05_HR_bin.52	4160	4004	133	genus	0.82	0.79	0.15	0.4	1.48	0.8	0.63	True
coassembly_cage_treat_C05_HR_bin.56	3062	2931	323	genus	0.79	0.75	0.12	0.42	1.38	0.72	0.55	True
coassembly_cage_treat_C05_HR_bin.58	4736	4564	203	kingdom	1.0	0.96	0.0	0.0	0.0	0.91	0.88	True
coassembly_cage_treat_C05_HR_bin.70	3158	2785	727	genus	0.63	0.56	0.41	0.55	2.78	0.66	0.37	True
coassembly_cage_treat_C05_HR_bin.8	4339	4129	220	family	0.91	0.86	0.1	0.47	1.75	0.67	0.58	True
coassembly_cage_treat_C05_HT_bin.37	4312	3994	211	genus	0.74	0.68	0.11	0.71	4.22	0.68	0.46	True
coassembly_cage_treat_C05_OP_bin.2	2504	2391	75	family	0.94	0.9	0.1	0.22	0.54	0.95	0.85	True
coassembly_cage_treat_C05_OP_bin.26	3560	3379	87	genus	0.7	0.67	0.05	0.68	5.62	0.68	0.45	True
coassembly_cage_treat_C05_OP_bin.28	2428	2227	51	genus	0.9	0.83	0.09	0.14	0.35	0.67	0.55	True
coassembly_cage_treat_C05_OP_bin.38	2941	2770	384	class	0.96	0.91	0.28	0.41	0.94	0.76	0.68	True
coassembly_cage_treat_C05_OP_bin.9	2140	1986	362	genus	0.74	0.69	0.15	0.55	2.61	0.67	0.46	True
coassembly_cage_treat_C06_CD_bin.54	2600	2411	148	genus	0.91	0.84	0.14	0.34	1.15	0.68	0.57	True
coassembly_cage_treat_C06_CD_bin.56	3738	3501	133	genus	0.75	0.7	0.05	0.59	3.5	0.65	0.46	True
coassembly_cage_treat_C06_CR_bin.22	3424	3235	100	genus	0.71	0.67	0.04	0.73	5.78	0.65	0.44	True
coassembly_cage_treat_C06_CR_bin.34	5010	4844	234	genus	0.89	0.86	0.2	0.07	0.14	0.96	0.82	True
coassembly_cage_treat_C06_CR_bin.55	3136	2979	49	class	0.96	0.91	0.09	0.35	0.84	0.66	0.6	True
coassembly_cage_treat_C06_CR_bin.8	2572	2446	536	class	0.98	0.93	0.28	0.32	0.76	0.78	0.73	True
coassembly_cage_treat_C06_HR_bin.3	3373	3136	332	class	0.95	0.89	0.26	0.33	0.78	0.65	0.58	True
coassembly_cage_treat_C06_HR_bin.42	1699	1648	7	family	0.94	0.91	0.04	0.06	0.12	0.77	0.7	True
coassembly_cage_treat_C06_HR_bin.7	3315	3040	148	genus	0.69	0.63	0.13	0.61	3.49	0.65	0.41	True
coassembly_cage_treat_C06_OP_bin.2	3565	3322	715	class	0.98	0.91	0.33	0.32	0.84	0.64	0.59	True
coassembly_cage_treat_C06_OP_bin.31	2597	2418	121	order	0.97	0.9	0.2	0.1	0.21	0.8	0.72	True
coassembly_cage_treat_C06_OP_bin.43	1750	1438	52	order	0.85	0.69	0.07	0.16	0.39	0.52	0.36	True
coassembly_cage_treat_C06_OP_bin.47	1259	1018	262	order	0.94	0.76	0.13	0.65	2.76	0.57	0.43	True
coassembly_cage_treat_C06_OP_bin.55	2194	2047	556	family	0.93	0.87	0.27	0.32	1.04	0.77	0.67	True
coassembly_cage_treat_C06_OP_bin.56	2812	2668	158	class	0.97	0.92	0.32	0.1	0.21	0.74	0.68	True
coassembly_cage_treat_C06_OP_bin.57	4760	4623	441	genus	0.86	0.84	0.34	0.18	0.43	0.95	0.8	True
coassembly_cage_treat_C10_CD_bin.14	3106	2985	165	family	0.93	0.9	0.26	0.09	0.19	0.94	0.85	True
coassembly_cage_treat_C10_CD_bin.18	3387	3242	104	genus	0.77	0.74	0.09	0.66	3.68	0.68	0.5	True
coassembly_cage_treat_C10_CD_bin.30	2905	2699	620	class	0.96	0.9	0.12	0.12	0.26	0.65	0.59	True
coassembly_cage_treat_C10_CD_bin.49	3792	3535	154	genus	0.78	0.73	0.12	0.65	3.69	0.69	0.5	True
coassembly_cage_treat_C10_CD_bin.58	2329	2212	404	class	0.98	0.93	0.31	0.35	0.82	0.78	0.72	True
coassembly_cage_treat_C10_CD_bin.7	1881	1585	25	phylum	0.94	0.79	0.05	0.09	0.2	0.52	0.41	True
coassembly_cage_treat_C10_CD_bin.74	3345	3152	59	genus	0.77	0.72	0.05	0.67	3.61	0.69	0.5	True
coassembly_cage_treat_C10_CR_bin.12	2481	2324	45	genus	0.91	0.85	0.2	0.1	0.23	0.72	0.61	True
coassembly_cage_treat_C10_CR_bin.16	2536	2429	53	genus	0.92	0.88	0.17	0.11	0.24	0.75	0.66	True
coassembly_cage_treat_C10_CR_bin.2	1508	1262	19	class	0.9	0.76	0.02	0.47	1.53	0.52	0.39	True
coassembly_cage_treat_C10_CR_bin.3	3507	3319	91	family	0.92	0.88	0.18	0.09	0.21	0.79	0.69	True
coassembly_cage_treat_C10_CR_bin.34	2165	2058	598	family	0.92	0.88	0.45	0.05	0.1	0.81	0.71	False
coassembly_cage_treat_C10_CR_bin.5	4456	4210	188	genus	0.87	0.82	0.15	0.42	1.47	0.79	0.65	True
coassembly_cage_treat_C10_CR_bin.58	3853	3567	183	genus	0.73	0.67	0.12	0.41	1.68	0.69	0.46	True
coassembly_cage_treat_C10_CR_bin.62	2741	2548	42	family	0.96	0.89	0.08	0.11	0.24	0.78	0.7	True
coassembly_cage_treat_C10_CR_bin.71	2326	2171	506	class	0.97	0.91	0.29	0.33	0.8	0.77	0.7	True
coassembly_cage_treat_C10_HR_bin.17	3534	3288	96	genus	0.74	0.69	0.09	0.39	1.55	0.7	0.48	True
coassembly_cage_treat_C10_HR_bin.20	1827	1517	31	phylum	0.95	0.79	0.04	0.27	0.69	0.52	0.41	True
coassembly_cage_treat_C10_HR_bin.56	3263	3085	86	class	0.97	0.92	0.04	0.11	0.24	0.66	0.61	True
coassembly_cage_treat_C10_HR_bin.73	2948	2744	572	class	0.97	0.9	0.27	0.37	0.88	0.77	0.69	True
coassembly_cage_treat_C10_HT_bin.1	1605	1323	14	genus	0.64	0.53	0.03	0.65	4.53	0.53	0.28	True
coassembly_cage_treat_C10_HT_bin.15	2045	1923	494	class	0.98	0.92	0.32	0.31	0.75	0.78	0.72	True
coassembly_cage_treat_C10_HT_bin.46	1783	1480	44	family	0.82	0.68	0.05	0.49	2.45	0.53	0.36	True
coassembly_cage_treat_C10_OP_bin.12	4570	4243	126	order	0.92	0.85	0.08	0.03	0.06	0.66	0.56	True
coassembly_cage_treat_C10_OP_bin.14	2457	2288	418	genus	0.69	0.64	0.22	0.55	2.56	0.66	0.43	True
coassembly_cage_treat_C10_OP_bin.16	1644	1325	102	class	0.95	0.77	0.09	0.41	1.36	0.58	0.44	True
coassembly_cage_treat_C10_OP_bin.29	3223	3087	216	genus	0.75	0.72	0.14	0.4	1.56	0.69	0.5	True
coassembly_cage_treat_C10_OP_bin.33	2005	1875	171	family	0.95	0.89	0.11	0.15	0.38	0.65	0.58	True
coassembly_cage_treat_C10_OP_bin.39	3445	3267	124	class	0.96	0.91	0.11	0.05	0.11	0.67	0.61	True
coassembly_cage_treat_C10_OP_bin.4	3346	3067	641	genus	0.67	0.62	0.2	0.6	3.32	0.67	0.41	True
coassembly_cage_treat_C10_OP_bin.48	3572	3325	667	class	0.95	0.89	0.24	0.03	0.05	0.67	0.6	True
coassembly_cage_treat_C10_OP_bin.58	3566	3357	78	genus	0.82	0.77	0.06	0.54	2.76	0.66	0.51	True
coassembly_cage_treat_C10_OP_bin.63	3273	2909	162	family	0.83	0.74	0.11	0.47	1.94	0.59	0.44	True
coassembly_cage_treat_C10_OP_bin.69	3647	3453	141	genus	0.81	0.76	0.13	0.23	0.63	0.76	0.58	True
coassembly_cage_treat_C11_CD_bin.30	2732	2532	192	class	0.94	0.87	0.14	0.18	0.42	0.65	0.57	True
coassembly_cage_treat_C11_CD_bin.43	4503	4184	210	family	0.92	0.85	0.12	0.15	0.36	0.71	0.61	True
coassembly_cage_treat_C11_CD_bin.45	2829	2714	479	genus	0.85	0.82	0.35	0.13	0.3	0.83	0.68	True
coassembly_cage_treat_C11_CR_bin.10	2515	2395	108	genus	0.8	0.76	0.12	0.48	1.9	0.68	0.52	True
coassembly_cage_treat_C11_CR_bin.14	2191	2024	431	family	0.96	0.88	0.18	0.34	1.19	0.72	0.64	True
coassembly_cage_treat_C11_CR_bin.25	4728	4580	176	genus	0.82	0.8	0.13	0.42	1.57	0.79	0.63	True
coassembly_cage_treat_C11_CR_bin.48	3742	3510	92	genus	0.76	0.72	0.05	0.63	3.29	0.7	0.5	True
coassembly_cage_treat_C11_CR_bin.70	3111	2874	105	genus	0.8	0.74	0.37	0.04	0.09	0.8	0.59	True
coassembly_cage_treat_C11_CR_bin.71	2555	2413	291	genus	0.81	0.76	0.28	0.29	0.89	0.79	0.6	True
coassembly_cage_treat_C11_HR_bin.13	2529	2423	243	class	0.98	0.94	0.22	0.36	0.85	0.77	0.73	True
coassembly_cage_treat_C11_HR_bin.14	2186	2059	50	family	0.93	0.88	0.04	0.15	0.38	0.65	0.57	True
coassembly_cage_treat_C11_HR_bin.18	2200	2113	336	class	0.97	0.94	0.31	0.29	0.69	0.79	0.74	True
coassembly_cage_treat_C11_HR_bin.41	4048	3875	87	genus	0.76	0.73	0.08	0.42	1.54	0.71	0.52	True
coassembly_cage_treat_C11_HR_bin.6	2042	1893	199	class	0.97	0.9	0.2	0.35	0.83	0.76	0.69	True
coassembly_cage_treat_C11_HT_bin.24	3886	3712	167	genus	0.8	0.76	0.14	0.26	0.74	0.75	0.57	True
coassembly_cage_treat_C11_HT_bin.30	4385	4357	49	genus	0.95	0.94	0.02	0.31	0.76	0.99	0.93	True
coassembly_cage_treat_C11_HT_bin.48	2513	2393	303	genus	0.94	0.89	0.55	0.03	0.06	0.89	0.79	False
coassembly_cage_treat_C11_OP_bin.1	2181	2033	64	family	0.95	0.88	0.11	0.18	0.46	0.68	0.6	True
coassembly_cage_treat_C11_OP_bin.28	4084	3879	130	genus	0.76	0.72	0.13	0.35	1.2	0.73	0.52	True
coassembly_cage_treat_C11_OP_bin.3	2312	2213	30	family	0.94	0.9	0.06	0.15	0.35	0.73	0.66	True
coassembly_cage_treat_C11_OP_bin.39	3200	2872	78	genus	0.81	0.72	0.25	0.04	0.08	0.8	0.58	True
coassembly_cage_treat_C11_OP_bin.41	2083	1952	42	family	0.94	0.88	0.05	0.37	0.98	0.68	0.59	True
coassembly_cage_treat_C11_OP_bin.49	1689	1395	12	class	0.91	0.75	0.01	0.42	1.52	0.52	0.39	True
coassembly_cage_treat_C11_OP_bin.55	5017	4879	200	genus	0.87	0.85	0.25	0.17	0.4	0.95	0.81	True
coassembly_cage_treat_C12_CD_bin.21	2015	1856	100	family	0.92	0.85	0.1	0.18	0.43	0.65	0.55	True
coassembly_cage_treat_C12_CD_bin.3	3718	3583	707	genus	0.86	0.83	0.24	0.35	1.22	0.79	0.66	True
coassembly_cage_treat_C12_CD_bin.40	3582	3388	61	genus	0.79	0.75	0.03	0.56	2.89	0.67	0.5	True
coassembly_cage_treat_C12_CD_bin.5	3189	3125	65	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.94	True
coassembly_cage_treat_C12_CD_bin.53	4137	3876	713	genus	0.82	0.77	0.15	0.55	2.99	0.68	0.52	True
coassembly_cage_treat_C12_CD_bin.60	2010	1932	96	genus	0.91	0.88	0.15	0.04	0.09	0.77	0.68	True
coassembly_cage_treat_C12_CD_bin.65	4430	4193	220	family	0.93	0.88	0.18	0.13	0.31	0.75	0.66	True
coassembly_cage_treat_C12_CD_bin.67	3372	3155	700	phylum	0.99	0.92	0.93	0.1	0.22	0.77	0.71	False
coassembly_cage_treat_C12_CR_bin.16	2022	1889	116	family	0.93	0.87	0.07	0.11	0.26	0.67	0.58	True
coassembly_cage_treat_C12_CR_bin.17	2944	2731	698	genus	0.79	0.73	0.13	0.59	3.45	0.67	0.49	True
coassembly_cage_treat_C12_CR_bin.50	3101	2970	74	class	0.96	0.92	0.09	0.31	0.75	0.66	0.6	True
coassembly_cage_treat_C12_CR_bin.60	2501	2412	557	kingdom	1.0	0.96	0.0	0.0	0.0	0.95	0.91	True
coassembly_cage_treat_C12_CR_bin.62	3633	3221	549	genus	0.73	0.65	0.15	0.62	3.47	0.62	0.4	True
coassembly_cage_treat_C12_CR_bin.68	3342	2981	262	class	0.93	0.83	0.14	0.03	0.07	0.63	0.52	True
coassembly_cage_treat_C12_CR_bin.9	3628	3443	121	genus	0.88	0.83	0.07	0.35	0.96	0.81	0.67	True
coassembly_cage_treat_C12_HT_bin.29	3059	2865	369	order	0.95	0.89	0.19	0.03	0.06	0.7	0.63	True
coassembly_cage_treat_C12_HT_bin.36	1942	1813	485	genus	0.85	0.8	0.39	0.12	0.27	0.75	0.6	True
coassembly_cage_treat_C12_HT_bin.37	1805	1773	38	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
coassembly_cage_treat_C12_HT_bin.40	1973	1908	50	kingdom	1.0	0.97	0.0	0.0	0.0	0.91	0.88	True
coassembly_cage_treat_C12_OP_bin.10	3677	3594	141	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.94	True
coassembly_cage_treat_C12_OP_bin.37	2925	2737	402	class	0.96	0.9	0.24	0.37	0.87	0.77	0.69	True
coassembly_cage_treat_C12_OP_bin.40	4134	3877	162	order	0.91	0.86	0.07	0.04	0.09	0.66	0.57	True
coassembly_cage_treat_C12_OP_bin.51	3733	3629	571	kingdom	1.0	0.97	0.0	0.0	0.0	0.94	0.91	True
coassembly_cage_treat_C12_OP_bin.52	2263	2138	516	genus	0.79	0.75	0.31	0.07	0.16	0.75	0.56	True
coassembly_long_C03M1_bin.24	3536	3367	125	genus	0.81	0.77	0.12	0.24	0.63	0.76	0.59	True
coassembly_long_C03M1_bin.53	2333	2178	480	genus	0.77	0.72	0.2	0.47	1.75	0.67	0.48	True
coassembly_long_C03M1_bin.55	3846	3663	131	genus	0.76	0.72	0.11	0.68	3.79	0.68	0.49	True
coassembly_long_C03M1_bin.6	2258	2114	476	genus	0.87	0.81	0.31	0.23	0.64	0.79	0.64	True
coassembly_long_C03M1_bin.63	1423	1220	34	family	0.78	0.66	0.01	0.7	3.8	0.52	0.35	True
coassembly_long_C03M2_bin.14	3091	2671	706	genus	0.63	0.54	0.46	0.57	2.9	0.68	0.37	False
coassembly_long_C03M2_bin.38	4716	4339	295	family	0.92	0.85	0.13	0.16	0.38	0.71	0.6	True
coassembly_long_C03M2_bin.57	1914	1612	45	class	0.88	0.74	0.07	0.46	1.47	0.53	0.39	True
coassembly_long_C03M3_bin.1	2629	2526	149	genus	0.86	0.82	0.35	0.03	0.07	0.85	0.7	True
coassembly_long_C03M3_bin.15	4323	4079	150	family	0.93	0.88	0.18	0.12	0.3	0.74	0.65	True
coassembly_long_C03M3_bin.23	4016	3777	123	genus	0.78	0.73	0.1	0.31	0.92	0.74	0.54	True
coassembly_long_C03M3_bin.26	1807	1443	7	class	0.9	0.72	0.01	0.42	1.5	0.52	0.37	True
coassembly_long_C03M3_bin.31	2656	2430	77	genus	0.93	0.85	0.11	0.27	0.8	0.65	0.55	True
coassembly_long_C03M3_bin.56	3270	3096	47	class	0.97	0.92	0.09	0.36	0.9	0.65	0.6	True
coassembly_long_C03M3_bin.67	3076	3009	104	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
coassembly_long_C03M4_bin.1	3455	3273	70	family	0.93	0.88	0.15	0.09	0.21	0.79	0.69	True
coassembly_long_C03M4_bin.12	2569	2379	513	class	0.97	0.9	0.24	0.34	0.82	0.77	0.69	True
coassembly_long_C03M4_bin.13	2855	2521	92	genus	0.47	0.42	0.06	0.82	7.71	0.57	0.24	True
